"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 2","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 3","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","property-card-link href","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2239 Alpha St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""772""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2239 Alpha St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.69178,""longitude"":-117.08615},""url"":""https://www.zillow.com/homedetails/2239-Alpha-St-National-City-CA-91950/17094277_zpid/""}","https://www.zillow.com/homedetails/2239-Alpha-St-National-City-CA-91950/17094277_zpid/","2239 Alpha St, National City, CA 91950","KELLER WILLIAMS REALTY","$520,000","- Sold","2","bds","1","ba","772","sqft","Sold 03/01/2021","https://www.zillow.com/homedetails/2239-Alpha-St-National-City-CA-91950/17094277_zpid/","https://photos.zillowstatic.com/fp/54f330b6e6577ec77d785987d80d022c-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1845 O Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""924""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1845 O Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.670753,""longitude"":-117.08759},""url"":""https://www.zillow.com/homedetails/1845-O-Ave-National-City-CA-91950/17099520_zpid/""}","https://www.zillow.com/homedetails/1845-O-Ave-National-City-CA-91950/17099520_zpid/","1845 O Ave, National City, CA 91950","COLDWELL BANKER WEST","$520,000","- Sold","2","bds","1","ba","924","sqft","Sold 10/05/2022","https://www.zillow.com/homedetails/1845-O-Ave-National-City-CA-91950/17099520_zpid/","https://photos.zillowstatic.com/fp/4a49008c9d41dc35905e890ec8affe66-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1127 Hoover Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""720""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1127 Hoover Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.672203,""longitude"":-117.10756},""url"":""https://www.zillow.com/homedetails/1127-Hoover-Ave-National-City-CA-91950/52520563_zpid/""}","https://www.zillow.com/homedetails/1127-Hoover-Ave-National-City-CA-91950/52520563_zpid/","1127 Hoover Ave, National City, CA 91950","CENTURY 21 AWARD","$520,000","- Sold","2","bds","1","ba","720","sqft","Sold 04/15/2022","https://www.zillow.com/homedetails/1127-Hoover-Ave-National-City-CA-91950/52520563_zpid/","https://photos.zillowstatic.com/fp/f215b66c861bd29b8fe8e2091fa7a760-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""608 Palm Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,200""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""608 Palm Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.681923,""longitude"":-117.09137},""url"":""https://www.zillow.com/homedetails/608-Palm-Ave-National-City-CA-91950/17097181_zpid/""}","https://www.zillow.com/homedetails/608-Palm-Ave-National-City-CA-91950/17097181_zpid/","608 Palm Ave, National City, CA 91950","COLDWELL BANKER WEST","$519,000","- Sold","2","bds","1","ba","1,200","sqft","Sold 04/05/2021","https://www.zillow.com/homedetails/608-Palm-Ave-National-City-CA-91950/17097181_zpid/","https://photos.zillowstatic.com/fp/16c98201808f3ee0e0cc70af29b05088-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""L 138th Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""L 138th Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org""},""url"":""https://www.zillow.com/homedetails/L-138th-Ave-National-City-CA-91950/2068512918_zpid/""}","https://www.zillow.com/homedetails/L-138th-Ave-National-City-CA-91950/2068512918_zpid/","L 138th Ave, National City, CA 91950","SUNDAE HOMES","$517,900","- Sold","2","bds","1","ba","--","sqft","Sold 10/12/2021","https://www.zillow.com/homedetails/L-138th-Ave-National-City-CA-91950/2068512918_zpid/","https://photos.zillowstatic.com/fp/38ee6071aab7a8b61c2016ee639dc08a-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3401 E 7th St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,028""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3401 E 7th St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.687252,""longitude"":-117.07218},""url"":""https://www.zillow.com/homedetails/3401-E-7th-St-National-City-CA-91950/17189333_zpid/""}","https://www.zillow.com/homedetails/3401-E-7th-St-National-City-CA-91950/17189333_zpid/","3401 E 7th St, National City, CA 91950","PACIFIC SOTHEBY'S INT'L REALTY","$516,000","- Sold","2","bds","2","ba","1,028","sqft","Sold 04/28/2021","https://www.zillow.com/homedetails/3401-E-7th-St-National-City-CA-91950/17189333_zpid/","https://photos.zillowstatic.com/fp/ca14f45d3960d4af49b6bd8469b9edc5-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2513 K Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""988""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2513 K Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.664257,""longitude"":-117.089584},""url"":""https://www.zillow.com/homedetails/2513-K-Ave-National-City-CA-91950/17100190_zpid/""}","https://www.zillow.com/homedetails/2513-K-Ave-National-City-CA-91950/17100190_zpid/","2513 K Ave, National City, CA 91950","ACROPOLIS ENTERPRISE","$515,000","- Sold","2","bds","1","ba","988","sqft","Sold 05/29/2020","https://www.zillow.com/homedetails/2513-K-Ave-National-City-CA-91950/17100190_zpid/","https://photos.zillowstatic.com/fp/f2ed7f320269fa9adf7e0ede41358ece-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""833 C Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""944""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""833 C Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.676483,""longitude"":-117.10329},""url"":""https://www.zillow.com/homedetails/833-C-Ave-National-City-CA-91950/123192302_zpid/""}","https://www.zillow.com/homedetails/833-C-Ave-National-City-CA-91950/123192302_zpid/","833 C Ave, National City, CA 91950","REDFIN CORPORATION","$515,000","- Sold","2","bds","2","ba","944","sqft","Sold 03/29/2021","https://www.zillow.com/homedetails/833-C-Ave-National-City-CA-91950/123192302_zpid/","https://photos.zillowstatic.com/fp/19ea3d5ea59cdaed04126da6c29eac41-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""323 W 16th St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""714""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""323 W 16th St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.668133,""longitude"":-117.107864},""url"":""https://www.zillow.com/homedetails/323-W-16th-St-National-City-CA-91950/52520617_zpid/""}","https://www.zillow.com/homedetails/323-W-16th-St-National-City-CA-91950/52520617_zpid/","323 W 16th St, National City, CA 91950","QUICKER INC.","$506,000","- Sold","2","bds","1","ba","714","sqft","Sold 09/17/2021","https://www.zillow.com/homedetails/323-W-16th-St-National-City-CA-91950/52520617_zpid/","https://photos.zillowstatic.com/fp/6f0cb449b2160f705332ea881282a19f-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1636 Grove St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,249""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1636 Grove St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.674343,""longitude"":-117.082405},""url"":""https://www.zillow.com/homedetails/1636-Grove-St-National-City-CA-91950/17099368_zpid/""}","https://www.zillow.com/homedetails/1636-Grove-St-National-City-CA-91950/17099368_zpid/","1636 Grove St, National City, CA 91950","EXP REALTY OF CALIFORNIA, INC.","$505,000","- Sold","2","bds","2","ba","1,249","sqft","Sold 01/03/2023","https://www.zillow.com/homedetails/1636-Grove-St-National-City-CA-91950/17099368_zpid/","https://photos.zillowstatic.com/fp/edce2d89d478e7caa24c189be710d49c-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2025 Prospect St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,208""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2025 Prospect St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.671543,""longitude"":-117.07953},""url"":""https://www.zillow.com/homedetails/2025-Prospect-St-National-City-CA-91950/17099867_zpid/""}","https://www.zillow.com/homedetails/2025-Prospect-St-National-City-CA-91950/17099867_zpid/","2025 Prospect St, National City, CA 91950","","$500,000","- Sold","2","bds","1","ba","1,208","sqft","Sold 07/02/2021","https://www.zillow.com/homedetails/2025-Prospect-St-National-City-CA-91950/17099867_zpid/","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.67154312133789,-117.07952880859375&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=nEttDeg0TmD_QTAV74r7E1uULts=","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2718 Ridgeway Dr, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""980""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2718 Ridgeway Dr"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.66731,""longitude"":-117.07324},""url"":""https://www.zillow.com/homedetails/2718-Ridgeway-Dr-National-City-CA-91950/17100979_zpid/""}","https://www.zillow.com/homedetails/2718-Ridgeway-Dr-National-City-CA-91950/17100979_zpid/","2718 Ridgeway Dr, National City, CA 91950","CAL RE FUND MANAGEMENT, INC","$500,000","- Sold","2","bds","1","ba","980","sqft","Sold 12/15/2020","https://www.zillow.com/homedetails/2718-Ridgeway-Dr-National-City-CA-91950/17100979_zpid/","https://photos.zillowstatic.com/fp/a0baef1355a4fe8e5f3db94bdb1d2dd4-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2360 Euclid Ave Unit 9, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,144""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2360 Euclid Ave UNIT 9"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.66909,""longitude"":-117.0777},""url"":""https://www.zillow.com/homedetails/2360-Euclid-Ave-UNIT-9-National-City-CA-91950/17099929_zpid/""}","https://www.zillow.com/homedetails/2360-Euclid-Ave-UNIT-9-National-City-CA-91950/17099929_zpid/","2360 Euclid Ave UNIT 9, National City, CA 91950","EXP REALTY OF CALIFORNIA, INC.","$499,999","- Sold","2","bds","2","ba","1,144","sqft","Sold 12/19/2022","https://www.zillow.com/homedetails/2360-Euclid-Ave-UNIT-9-National-City-CA-91950/17099929_zpid/","https://photos.zillowstatic.com/fp/34d2c339e8fbe04e6a84785b5d1e6b47-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""437 E 4th St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,460""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""437 E 4th St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.68091,""longitude"":-117.10343},""url"":""https://www.zillow.com/homedetails/437-E-4th-St-National-City-CA-91950/17096319_zpid/""}","https://www.zillow.com/homedetails/437-E-4th-St-National-City-CA-91950/17096319_zpid/","437 E 4th St, National City, CA 91950","","$495,000","- Sold","2","bds","1","ba","1,460","sqft","Sold 02/17/2021","https://www.zillow.com/homedetails/437-E-4th-St-National-City-CA-91950/17096319_zpid/","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.680908203125,-117.10343170166016&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=ng0KeBq0ZwERIPlHh3qXY_TmvYQ=","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""305 Norton Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""792""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""305 Norton Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.68447,""longitude"":-117.09366},""url"":""https://www.zillow.com/homedetails/305-Norton-Ave-National-City-CA-91950/17095317_zpid/""}","https://www.zillow.com/homedetails/305-Norton-Ave-National-City-CA-91950/17095317_zpid/","305 Norton Ave, National City, CA 91950","","$491,000","- Sold","2","bds","1","ba","792","sqft","Sold 09/16/2020","https://www.zillow.com/homedetails/305-Norton-Ave-National-City-CA-91950/17095317_zpid/","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.684471130371094,-117.09365844726562&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=pGM0vZd2e37tPXf1jaY3wPglluA=","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1116 Delta St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""795""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1116 Delta St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.6887,""longitude"":-117.09898},""url"":""https://www.zillow.com/homedetails/1116-Delta-St-National-City-CA-91950/17093284_zpid/""}","https://www.zillow.com/homedetails/1116-Delta-St-National-City-CA-91950/17093284_zpid/","1116 Delta St, National City, CA 91950","COMPASS","$490,000","- Sold","2","bds","1","ba","795","sqft","Sold 07/30/2021","https://www.zillow.com/homedetails/1116-Delta-St-National-City-CA-91950/17093284_zpid/","https://photos.zillowstatic.com/fp/74099149473e15899ae518eb3ef0aa18-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1625 Grove St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""792""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1625 Grove St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.67466,""longitude"":-117.0819},""url"":""https://www.zillow.com/homedetails/1625-Grove-St-National-City-CA-91950/17099377_zpid/""}","https://www.zillow.com/homedetails/1625-Grove-St-National-City-CA-91950/17099377_zpid/","1625 Grove St, National City, CA 91950","COMPASS","$490,000","- Sold","2","bds","1","ba","792","sqft","Sold 03/24/2021","https://www.zillow.com/homedetails/1625-Grove-St-National-City-CA-91950/17099377_zpid/","https://photos.zillowstatic.com/fp/f55cbe4ef4b916c71460063d2ecd54a5-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2720 L Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""988""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2720 L Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.662403,""longitude"":-117.0884},""url"":""https://www.zillow.com/homedetails/2720-L-Ave-National-City-CA-91950/17100360_zpid/""}","https://www.zillow.com/homedetails/2720-L-Ave-National-City-CA-91950/17100360_zpid/","2720 L Ave, National City, CA 91950","HOMEQUEST REAL ESTATE","$490,000","- Sold","2","bds","1","ba","988","sqft","Sold 04/23/2021","https://www.zillow.com/homedetails/2720-L-Ave-National-City-CA-91950/17100360_zpid/","https://photos.zillowstatic.com/fp/7fe3cde6dbd5084fca2a11508de56dc6-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1824 Via Las Palmas Unit 11, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,070""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1824 Via Las Palmas UNIT 11"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.667377,""longitude"":-117.08304},""url"":""https://www.zillow.com/homedetails/1824-Via-Las-Palmas-UNIT-11-National-City-CA-91950/17100765_zpid/""}","https://www.zillow.com/homedetails/1824-Via-Las-Palmas-UNIT-11-National-City-CA-91950/17100765_zpid/","1824 Via Las Palmas UNIT 11, National City, CA 91950","EXP REALTY OF CALIFORNIA, INC.","$480,000","- Sold","2","bds","2","ba","1,070","sqft","Sold 08/10/2022","https://www.zillow.com/homedetails/1824-Via-Las-Palmas-UNIT-11-National-City-CA-91950/17100765_zpid/","https://photos.zillowstatic.com/fp/ec7deeb6eebeaa0bce0157d4c40e6139-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2920 Leonard St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""880""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2920 Leonard St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.669567,""longitude"":-117.071075},""url"":""https://www.zillow.com/homedetails/2920-Leonard-St-National-City-CA-91950/17101100_zpid/""}","https://www.zillow.com/homedetails/2920-Leonard-St-National-City-CA-91950/17101100_zpid/","2920 Leonard St, National City, CA 91950","BIG BLOCK REALTY, INC","$475,000","- Sold","2","bds","2","ba","880","sqft","Sold 06/10/2020","https://www.zillow.com/homedetails/2920-Leonard-St-National-City-CA-91950/17101100_zpid/","https://photos.zillowstatic.com/fp/88c53e2f2933d61d8258d979c5635b14-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3714 Fairlindo Way, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,080""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3714 Fairlindo Way"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.659626,""longitude"":-117.05869},""url"":""https://www.zillow.com/homedetails/3714-Fairlindo-Way-National-City-CA-91950/17101636_zpid/""}","https://www.zillow.com/homedetails/3714-Fairlindo-Way-National-City-CA-91950/17101636_zpid/","3714 Fairlindo Way, National City, CA 91950","1ST UNITED REALTY","$475,000","- Sold","2","bds","2","ba","1,080","sqft","Sold 02/06/2023","https://www.zillow.com/homedetails/3714-Fairlindo-Way-National-City-CA-91950/17101636_zpid/","https://photos.zillowstatic.com/fp/543f72ea7c4da31c9c552083c0a9a135-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1228 Earle Dr, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""848""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1228 Earle Dr"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.68014,""longitude"":-117.07461},""url"":""https://www.zillow.com/homedetails/1228-Earle-Dr-National-City-CA-91950/17098058_zpid/""}","https://www.zillow.com/homedetails/1228-Earle-Dr-National-City-CA-91950/17098058_zpid/","1228 Earle Dr, National City, CA 91950","ACROPOLIS ENTERPRISE","$470,000","- Sold","2","bds","1","ba","848","sqft","Sold 04/22/2020","https://www.zillow.com/homedetails/1228-Earle-Dr-National-City-CA-91950/17098058_zpid/","https://photos.zillowstatic.com/fp/ac83b3054302acef561b71dd5e163927-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""727 Paradise Way, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,452""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""727 Paradise Way"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.685192,""longitude"":-117.07708},""url"":""https://www.zillow.com/homedetails/727-Paradise-Way-National-City-CA-91950/82944064_zpid/""}","https://www.zillow.com/homedetails/727-Paradise-Way-National-City-CA-91950/82944064_zpid/","727 Paradise Way, National City, CA 91950","COMPASS","$470,000","- Sold","2","bds","3","ba","1,452","sqft","Sold 10/21/2020","https://www.zillow.com/homedetails/727-Paradise-Way-National-City-CA-91950/82944064_zpid/","https://photos.zillowstatic.com/fp/7658f07fda1e2a4f33f78ce8afec649c-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1918 Via Las Palmas Unit 20a, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,081""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1918 Via Las Palmas UNIT 20A"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.66672,""longitude"":-117.08193},""url"":""https://www.zillow.com/homedetails/1918-Via-Las-Palmas-UNIT-20A-National-City-CA-91950/52520669_zpid/""}","https://www.zillow.com/homedetails/1918-Via-Las-Palmas-UNIT-20A-National-City-CA-91950/52520669_zpid/","1918 Via Las Palmas UNIT 20A, National City, CA 91950","COLDWELL BANKER WEST","$462,000","- Sold","2","bds","2","ba","1,081","sqft","Sold 02/24/2023","https://www.zillow.com/homedetails/1918-Via-Las-Palmas-UNIT-20A-National-City-CA-91950/52520669_zpid/","https://photos.zillowstatic.com/fp/1e2411cdd7285cabcfd06f7414460e61-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""218 A Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""672""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""218 A Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.680878,""longitude"":-117.107925},""url"":""https://www.zillow.com/homedetails/218-A-Ave-National-City-CA-91950/17096206_zpid/""}","https://www.zillow.com/homedetails/218-A-Ave-National-City-CA-91950/17096206_zpid/","218 A Ave, National City, CA 91950","RISE REALTY","$460,000","- Sold","2","bds","1","ba","672","sqft","Sold 05/18/2021","https://www.zillow.com/homedetails/218-A-Ave-National-City-CA-91950/17096206_zpid/","https://photos.zillowstatic.com/fp/6af81ae5fa9b1d98df7c8a075bf5a4e7-p_e.jpg","Save this home"
